 2013-Nov-15 12:00     19 15 38.51 -21 55 25.6 1.21248240353538   1.3026568  10.083909
 2013-Nov-16 12:00     19 19 49.46 -21 46 47.3 1.21323745072478   1.3118386  10.090188
 2013-Nov-17 12:00     19 23 59.88 -21 37 45.5 1.21399785397337   1.3211953  10.096512
 2013-Nov-18 12:00     19 28 09.75 -21 28 20.4 1.21476369719343   1.3306633  10.102882
 2013-Nov-19 12:00     19 32 19.05 -21 18 32.2 1.21553502360378   1.3401692  10.109297
 2013-Nov-20 12:00     19 36 27.77 -21 08 21.1 1.21631183316062   1.3496374  10.115757
 2013-Nov-21 12:00     19 40 35.90 -20 57 47.5 1.21709408284172   1.3589944  10.122263
 2013-Nov-22 12:00     19 44 43.43 -20 46 51.6 1.21788168782089   1.3681695  10.128813
 2013-Nov-23 12:00     19 48 50.34 -20 35 33.5 1.21867452401705   1.3770972  10.135407
 2013-Nov-24 12:00     19 52 56.62 -20 23 53.7 1.21947242941913   1.3857119  10.142043
 2013-Nov-25 12:00     19 57 02.27 -20 11 52.3 1.22027520448170   1.3939478  10.148719
 2013-Nov-26 12:00     20 01 07.28 -19 59 29.6 1.22108261016743   1.4017339  10.155434
 2013-Nov-27 12:00     20 05 11.64 -19 46 46.0 1.22189436462903   1.4089924  10.162186
 2013-Nov-28 12:00     20 09 15.34 -19 33 41.7 1.22271013841561   1.4156364  10.168970
 2013-Nov-29 12:00     20 13 18.38 -19 20 17.0 1.22352954989887   1.4215729  10.175785
 2013-Nov-30 12:00     20 17 20.76 -19 06 32.3 1.22435216411138   1.4267121  10.182626
 2013-Dec-01 12:00     20 21 22.45 -18 52 27.7 1.22517865687530   1.4309803  10.189500
 2013-Dec-02 12:00     20 25 23.48 -18 38 03.8 1.22600619469501   1.4343422  10.196383
 2013-Dec-03 12:00     20 29 23.82 -18 23 20.7 1.22683541589029   1.4368182  10.203279
 2013-Dec-04 12:00     20 33 23.47 -18 08 18.9 1.22766583058273   1.4384945  10.210185
 2013-Dec-05 12:00     20 37 22.43 -17 52 58.6 1.22849701600925   1.4395150  10.217098
 2013-Dec-06 12:00     20 41 20.68 -17 37 20.3 1.22932864425412   1.4400592  10.224015
 2013-Dec-07 12:00     20 45 18.24 -17 21 24.2 1.23016049485730   1.4403141  10.230933
